Circuit,Method,Depth,Gates,CX_Gates,Time,Depth_Improvement
EfficientSU2_16Q_R2_full,Qiskit L3,594,3279,0,1.060983657836914,-543
EfficientSU2_17Q_R1_linear,Custom,79,316,0,0.014582395553588867,-59
EfficientSU2_17Q_R1_linear,Qiskit L0,136,442,0,0.011646509170532227,-116
EfficientSU2_17Q_R1_linear,Qiskit L1,76,281,0,0.018838882446289062,-56
EfficientSU2_17Q_R1_linear,Qiskit L2,59,249,0,0.019426584243774414,-39
EfficientSU2_17Q_R1_linear,Qiskit L3,59,249,0,0.9460153579711914,-39
EfficientSU2_17Q_R2_full,Custom,500,2472,0,0.3296055793762207,-446
EfficientSU2_17Q_R2_full,Qiskit L0,1311,6206,0,0.07429790496826172,-1257
EfficientSU2_17Q_R2_full,Qiskit L1,696,4024,0,0.1314702033996582,-642
EfficientSU2_17Q_R2_full,Qiskit L2,613,3765,0,0.17734313011169434,-559
EfficientSU2_17Q_R2_full,Qiskit L3,685,3829,0,1.4799621105194092,-631
EfficientSU2_18Q_R1_linear,Custom,83,335,0,0.015154838562011719,-62
EfficientSU2_18Q_R1_linear,Qiskit L0,143,506,0,0.012569189071655273,-122
EfficientSU2_18Q_R1_linear,Qiskit L1,80,298,0,0.018624305725097656,-59
EfficientSU2_18Q_R1_linear,Qiskit L2,62,264,0,0.020401954650878906,-41
EfficientSU2_18Q_R1_linear,Qiskit L3,62,264,0,1.1748263835906982,-41
EfficientSU2_18Q_R2_full,Custom,519,2756,0,0.4390425682067871,-462
EfficientSU2_18Q_R2_full,Qiskit L0,1532,7002,0,0.08963274955749512,-1475
EfficientSU2_18Q_R2_full,Qiskit L1,1183,5027,0,0.15584349632263184,-1126
EfficientSU2_18Q_R2_full,Qiskit L2,753,4200,0,0.22032809257507324,-696
EfficientSU2_18Q_R2_full,Qiskit L3,796,4348,0,0.5926535129547119,-739
EfficientSU2_19Q_R1_linear,Custom,87,354,0,0.01762247085571289,-65
EfficientSU2_19Q_R1_linear,Qiskit L0,159,561,0,0.01505589485168457,-137
EfficientSU2_19Q_R1_linear,Qiskit L1,84,315,0,0.020534276962280273,-62
EfficientSU2_19Q_R1_linear,Qiskit L2,65,279,0,0.021048307418823242,-43
EfficientSU2_19Q_R1_linear,Qiskit L3,65,279,0,1.6506695747375488,-43
EfficientSU2_19Q_R2_full,Custom,717,3135,0,0.5985634326934814,-657
EfficientSU2_19Q_R2_full,Qiskit L0,1587,7704,0,0.10313177108764648,-1527
EfficientSU2_19Q_R2_full,Qiskit L1,764,5101,0,0.17671632766723633,-704
EfficientSU2_19Q_R2_full,Qiskit L2,725,4633,0,0.24791884422302246,-665
EfficientSU2_19Q_R2_full,Qiskit L3,1030,4987,0,0.3998684883117676,-970
EfficientSU2_20Q_R1_linear,Custom,91,373,0,0.016582012176513672,-68
EfficientSU2_20Q_R1_linear,Qiskit L0,250,697,0,0.014319896697998047,-227
EfficientSU2_20Q_R1_linear,Qiskit L1,88,332,0,0.021326780319213867,-65
EfficientSU2_20Q_R1_linear,Qiskit L2,68,294,0,0.021773576736450195,-45
EfficientSU2_20Q_R1_linear,Qiskit L3,68,294,0,2.092231512069702,-45
EfficientSU2_20Q_R2_full,Custom,642,3397,0,0.6298849582672119,-579
EfficientSU2_20Q_R2_full,Qiskit L0,1688,8933,0,0.12914752960205078,-1625
EfficientSU2_20Q_R2_full,Qiskit L1,1098,6204,0,0.22185683250427246,-1035
EfficientSU2_20Q_R2_full,Qiskit L2,1064,5494,0,0.3305513858795166,-1001
EfficientSU2_20Q_R2_full,Qiskit L3,726,5094,0,3.063840866088867,-663
QV_4Q_D4_S10,Qiskit L0,116,314,0,0.0078008174896240234,-115
QV_4Q_D4_S10,Qiskit L1,83,253,0,0.016299724578857422,-82
QV_4Q_D4_S10,Qiskit L2,43,125,0,0.018038272857666016,-42
QV_4Q_D4_S10,Qiskit L3,43,125,0,0.029961824417114258,-42
QV_5Q_D5_S20,Qiskit L0,134,433,0,0.006763935089111328,-133
QV_5Q_D5_S20,Qiskit L1,127,325,0,0.014654159545898438,-126
QV_5Q_D5_S20,Qiskit L2,109,253,0,0.01913738250732422,-108
QV_5Q_D5_S20,Qiskit L3,109,253,0,0.03194260597229004,-108
QV_6Q_D6_S30,Qiskit L0,302,792,0,0.008543968200683594,-301
QV_6Q_D6_S30,Qiskit L1,265,648,0,0.017586708068847656,-264
QV_6Q_D6_S30,Qiskit L2,201,514,0,0.020404577255249023,-200
QV_6Q_D6_S30,Qiskit L3,177,506,0,0.03695964813232422,-176
QV_7Q_D7_S40,Qiskit L0,296,984,0,0.009280204772949219,-295
QV_7Q_D7_S40,Qiskit L1,238,703,0,0.01819157600402832,-237
QV_7Q_D7_S40,Qiskit L2,205,576,0,0.020821809768676758,-204
QV_7Q_D7_S40,Qiskit L3,205,576,0,0.04392671585083008,-204
Random_3Q_D5_S100,Custom,70,129,0,0.008449792861938477,-54
Random_3Q_D5_S100,Qiskit L0,90,146,0,0.007825613021850586,-74
Random_3Q_D5_S100,Qiskit L1,42,76,0,0.015969038009643555,-26
Random_3Q_D5_S100,Qiskit L2,32,62,0,0.016759634017944336,-16
Random_3Q_D5_S100,Qiskit L3,32,62,0,0.028154850006103516,-16
Random_4Q_D8_S101,Custom,97,256,0,0.008786439895629883,-73
Random_4Q_D8_S101,Qiskit L0,127,315,0,0.007538318634033203,-103
Random_4Q_D8_S101,Qiskit L1,66,120,0,0.016170024871826172,-42
Random_4Q_D8_S101,Qiskit L2,60,104,0,0.01949286460876465,-36
Random_4Q_D8_S101,Qiskit L3,60,104,0,0.02774524688720703,-36
Random_5Q_D10_S102,Custom,114,378,0,0.010413408279418945,-84
Random_5Q_D10_S102,Qiskit L0,218,447,0,0.008071422576904297,-188
Random_5Q_D10_S102,Qiskit L1,66,155,0,0.01858210563659668,-36
Random_5Q_D10_S102,Qiskit L2,66,142,0,0.020504474639892578,-36
Random_5Q_D10_S102,Qiskit L3,71,141,0,0.02877187728881836,-41
Random_6Q_D12_S103,Custom,148,527,0,0.012496232986450195,-116
Random_6Q_D12_S103,Qiskit L0,233,621,0,0.008752822875976562,-201
Random_6Q_D12_S103,Qiskit L1,74,200,0,0.01612401008605957,-42
Random_6Q_D12_S103,Qiskit L2,68,179,0,0.020760059356689453,-36
Random_6Q_D12_S103,Qiskit L3,68,179,0,0.03217148780822754,-36
Random_7Q_D15_S104,Custom,235,749,0,0.0161287784576416,-194
Random_7Q_D15_S104,Qiskit L0,306,895,0,0.010176658630371094,-265
Random_7Q_D15_S104,Qiskit L1,103,274,0,0.018885135650634766,-62
Random_7Q_D15_S104,Qiskit L2,74,240,0,0.021483659744262695,-33
Random_7Q_D15_S104,Qiskit L3,85,233,0,0.0411076545715332,-44
